method1_dir,method1_file,method1_startline,method1_endline,method2_dir,method2_file,method2_startline,method2_endline
selected,1745478.java,303,318,selected,883949.java,284,300
selected,2308114.java,418,435,selected,1360343.java,423,440
selected,968577.java,197,210,selected,628014.java,198,211
selected,1071417.java,17,34,selected,844937.java,17,34
selected,1813289.java,67,85,selected,2128342.java,93,111
selected,57710.java,248,262,selected,2571624.java,175,189
default,50301.java,89,101,default,97964.java,89,101
selected,1062561.java,110,153,selected,1085000.java,65,110
selected,1493262.java,53,72,selected,273212.java,50,70
selected,1761885.java,155,198,selected,1085000.java,65,110
selected,539457.java,372,394,selected,943474.java,309,331
selected,1323852.java,930,945,selected,978188.java,997,1012
selected,2711455.java,1146,1177,selected,2711455.java,1218,1249
selected,1813289.java,209,222,selected,2692299.java,244,257
selected,1493262.java,220,233,selected,1293876.java,227,244
selected,650511.java,224,241,selected,650511.java,1308,1325
selected,1972982.java,210,223,selected,2393188.java,221,238
selected,2584539.java,215,231,selected,968577.java,118,134
selected,2571624.java,91,107,selected,1630973.java,88,106
selected,308502.java,199,212,selected,1524772.java,199,212
selected,1659238.java,277,336,selected,1659238.java,205,268
selected,1858148.java,317,331,selected,1074175.java,310,324
selected,2585088.java,84,100,selected,3127.java,91,107
selected,2136134.java,91,106,selected,102850.java,91,106
selected,714890.java,93,109,selected,644248.java,83,103
selected,2397223.java,251,264,selected,931640.java,203,216
selected,2692299.java,244,257,selected,398122.java,214,227
selected,517398.java,104,117,selected,1259974.java,113,126
selected,1990163.java,27,41,selected,1545651.java,26,40
selected,391616.java,32,51,selected,1590562.java,36,59
selected,1524772.java,118,136,selected,1401804.java,139,157
selected,3127.java,91,107,selected,1360343.java,95,113
selected,1266969.java,196,216,selected,996340.java,162,185
selected,69726.java,162,176,selected,1415233.java,162,176
selected,47775.java,307,330,selected,96396.java,282,307
selected,1630973.java,209,222,selected,1295903.java,236,249
selected,2306384.java,48,66,selected,968577.java,53,73
selected,955867.java,28,119,selected,233934.java,26,124
selected,1972982.java,210,223,selected,10759.java,235,248
selected,1293876.java,190,203,selected,511164.java,256,273
selected,1909055.java,136,179,selected,1610205.java,110,153
selected,2379226.java,243,256,selected,644248.java,213,226
selected,525120.java,50,69,selected,216402.java,50,70
selected,2524197.java,34,49,selected,2353926.java,36,51
selected,1046963.java,87,105,selected,580019.java,85,103
selected,1939988.java,45,52,selected,1903003.java,45,52
selected,2128342.java,226,239,selected,1401804.java,222,237
selected,1567995.java,215,247,selected,2339765.java,141,174
selected,1630973.java,59,77,selected,1293876.java,86,106
selected,2245661.java,189,213,selected,955867.java,406,433
selected,1046963.java,58,76,selected,883949.java,54,72
selected,2397223.java,251,264,selected,3127.java,203,216
selected,1085000.java,112,155,selected,120109.java,65,108
