method1_dir,method1_file,method1_startline,method1_endline,method2_dir,method2_file,method2_startline,method2_endline
selected,1894941.java,225,244,selected,1894941.java,192,216
selected,356074.java,376,384,selected,1053311.java,386,394
selected,1703609.java,183,188,selected,840057.java,76,81
selected,2515536.java,104,137,selected,2515536.java,139,172
selected,356074.java,681,731,selected,347622.java,693,743
selected,2101282.java,205,208,selected,2101282.java,210,213
selected,1262287.java,1101,1112,selected,149123.java,1122,1133
selected,1544487.java,267,280,selected,939512.java,301,314
selected,593263.java,446,508,selected,974838.java,617,682
selected,741287.java,176,185,selected,120276.java,23,32
selected,1711240.java,47,63,selected,2574544.java,62,78
selected,1098654.java,168,191,selected,1288504.java,143,168
selected,1262287.java,1195,1229,selected,608664.java,1195,1229
selected,2173941.java,128,139,selected,2331912.java,126,137
selected,529462.java,164,172,selected,529462.java,174,182
selected,2640664.java,114,129,selected,1966020.java,210,225
selected,267802.java,86,90,selected,1966621.java,92,96
selected,658234.java,843,859,selected,658234.java,861,877
selected,88478.java,13,21,selected,88478.java,101,109
selected,1052068.java,17,23,selected,1736152.java,19,25
selected,1618037.java,135,204,selected,1618037.java,212,293
selected,1926814.java,1155,1181,selected,1926814.java,1246,1272
selected,1260965.java,422,429,selected,442100.java,554,561
selected,2260758.java,36,51,selected,392189.java,35,50
selected,2273325.java,312,327,selected,2331912.java,309,324
selected,1972911.java,559,592,selected,128822.java,525,558
selected,448380.java,227,236,selected,1527985.java,553,562
selected,1848726.java,24,55,selected,1824380.java,55,85
selected,794965.java,470,497,selected,2132545.java,470,497
selected,211182.java,551,559,selected,1527985.java,712,720
selected,2367984.java,790,823,selected,2367984.java,830,866
selected,1163823.java,1143,1149,selected,149123.java,1143,1149
selected,2433629.java,88,98,selected,1405828.java,111,121
selected,1919715.java,175,203,selected,1919715.java,205,235
selected,1090867.java,706,716,selected,1527985.java,621,631
selected,347622.java,838,840,selected,1746689.java,838,840
selected,1372864.java,634,642,selected,687849.java,633,641
selected,1065912.java,99,121,selected,2579302.java,98,120
selected,1161059.java,542,557,selected,1161059.java,577,594
selected,2219826.java,98,106,selected,726121.java,197,205
selected,1440527.java,274,279,selected,1550799.java,308,313
selected,2279161.java,72,75,selected,539781.java,72,75
selected,2263715.java,141,159,selected,1029702.java,153,171
selected,828322.java,131,153,selected,828322.java,165,187
selected,644350.java,319,340,selected,644350.java,347,369
selected,356074.java,1467,1481,selected,1083174.java,1513,1527
selected,339364.java,132,162,selected,2448131.java,132,162
selected,978099.java,433,479,selected,978099.java,486,532
