method1_dir,method1_file,method1_startline,method1_endline,method2_dir,method2_file,method2_startline,method2_endline
default,60868.java,141,313,default,46669.java,201,389
default,60868.java,623,683,selected,1264956.java,713,779
selected,1938409.java,223,283,selected,1938409.java,41,115
default,3335.java,244,306,default,39958.java,244,306
default,11981.java,315,466,default,94873.java,391,568
selected,336575.java,37,110,selected,597736.java,125,198
default,73140.java,162,245,default,71126.java,178,269
default,101874.java,53,166,default,127351.java,53,166
default,108861.java,134,181,default,25377.java,134,181
default,132453.java,180,262,default,123223.java,180,276
default,98851.java,42,112,default,110030.java,40,110
selected,978188.java,1032,1097,selected,978188.java,894,963
selected,1095439.java,138,200,selected,2430560.java,447,509
default,122954.java,445,507,selected,964253.java,447,508
selected,2701370.java,518,575,selected,277320.java,477,534
default,767.java,179,257,default,104140.java,179,257
default,111270.java,189,249,default,32268.java,195,255
selected,2345166.java,249,438,selected,2345166.java,249,438
default,3335.java,723,883,default,53817.java,722,882
default,75351.java,48,157,default,27320.java,48,157
selected,2051539.java,179,251,selected,2014002.java,187,259
selected,232750.java,153,212,selected,232750.java,153,212
default,103951.java,101,211,default,30906.java,101,211
default,2905.java,265,321,selected,713062.java,340,401
default,14340.java,19,135,default,87617.java,19,135
selected,438322.java,493,545,selected,1494993.java,446,508
default,128513.java,53,166,default,106694.java,53,166
default,112268.java,130,197,default,104510.java,130,197
selected,459973.java,399,454,selected,93071.java,488,543
default,91168.java,27,99,default,53604.java,27,99
selected,748061.java,145,215,selected,1417740.java,147,216
default,81694.java,24,125,default,79388.java,19,135
selected,1796897.java,1136,1218,selected,1288877.java,1161,1263
default,131728.java,288,364,default,76818.java,288,364
selected,1690393.java,549,611,selected,2014002.java,187,259
default,94873.java,1438,1524,default,28121.java,1181,1279
default,96441.java,451,518,default,39186.java,451,518
default,130832.java,143,210,default,105704.java,204,283
default,71677.java,20,70,default,4297.java,20,75
selected,648561.java,442,539,selected,648561.java,843,950
selected,588446.java,985,1041,selected,927691.java,900,958
selected,342041.java,167,228,selected,1098434.java,167,228
selected,714297.java,46,355,selected,1825798.java,46,355
selected,1070076.java,101,200,default,73740.java,107,206
default,104991.java,90,172,default,93763.java,90,172
default,28942.java,1412,1622,default,28942.java,1412,1622
default,86705.java,179,322,default,61946.java,299,458
selected,1140887.java,250,349,selected,1894116.java,253,352
default,5489.java,20,75,default,89284.java,23,84
selected,2002839.java,207,262,selected,1671698.java,258,317
default,11981.java,1181,1261,default,94873.java,1438,1524
default,7607.java,41,130,selected,1467992.java,410,508
default,60402.java,598,728,default,25960.java,614,744
default,21199.java,655,795,default,25960.java,284,433
default,90813.java,1412,1622,default,113905.java,1461,1683
default,15672.java,625,684,default,92452.java,631,690
default,47767.java,101,199,default,53604.java,101,211
default,74403.java,200,262,default,84418.java,203,265
default,76704.java,304,453,default,136560.java,304,453
selected,827709.java,88,165,selected,761894.java,90,175
selected,171160.java,370,475,selected,916268.java,259,364
default,59943.java,24,83,default,42859.java,23,84
default,76704.java,1415,1623,default,52174.java,1454,1667
default,25960.java,158,282,default,21199.java,148,282
default,71902.java,14,76,default,125374.java,14,76
selected,1201888.java,55,128,selected,372698.java,37,110
default,73326.java,23,117,default,27769.java,23,117
default,94873.java,1627,1788,selected,1264956.java,1534,1710
selected,971416.java,58,114,selected,2069608.java,68,124
default,60868.java,315,466,default,46669.java,391,569
selected,1240736.java,102,184,selected,1260635.java,116,198
default,84103.java,36,280,default,115410.java,36,280
selected,832449.java,386,468,selected,470025.java,388,470
selected,734475.java,597,658,selected,734475.java,597,658
selected,1910293.java,88,161,selected,841335.java,61,134
default,123784.java,98,196,default,123784.java,98,196
selected,597475.java,447,508,selected,964253.java,447,508
default,130721.java,194,256,default,80007.java,188,251
selected,1403576.java,18,105,default,24853.java,9,97
selected,598602.java,243,301,selected,598602.java,305,363
default,71677.java,183,246,default,25073.java,197,262
default,108831.java,46,130,default,134679.java,46,130
selected,941273.java,41,114,selected,336575.java,37,110
selected,1732437.java,1853,1916,selected,1732437.java,1853,1916
default,132453.java,863,998,default,18786.java,863,998
selected,17156.java,821,893,selected,17156.java,821,893
selected,59218.java,874,932,selected,2108660.java,1068,1134
selected,2504601.java,187,247,selected,2485105.java,187,247
default,67047.java,203,414,default,31794.java,205,478
default,85594.java,669,781,default,114236.java,258,370
selected,2487241.java,29,141,selected,1856030.java,43,190
default,5014.java,46,130,default,80065.java,56,140
selected,1005116.java,496,575,selected,1005116.java,496,575
default,49316.java,48,157,default,99928.java,48,157
selected,2114915.java,48,121,selected,7504.java,75,151
default,21828.java,46,130,default,80065.java,56,140
selected,2510042.java,673,730,selected,1227669.java,586,647
default,20162.java,132,205,default,54016.java,132,205
default,58627.java,162,245,default,11876.java,168,259
default,76704.java,304,453,default,88262.java,300,468
selected,1997020.java,443,508,selected,1997020.java,443,508
selected,1202074.java,147,204,selected,2623055.java,145,202
default,8548.java,183,246,default,31718.java,194,256
default,61445.java,183,377,default,125352.java,136,334
selected,1756427.java,206,267,selected,1702448.java,168,229
default,767.java,413,477,default,63707.java,413,477
default,96441.java,773,837,default,39186.java,773,837
selected,1385666.java,1748,1835,selected,2049331.java,1052,1161
selected,1345454.java,36,109,selected,1616622.java,55,129
default,91744.java,556,615,selected,1262012.java,604,663
default,32710.java,53,111,default,113275.java,53,111
selected,1201888.java,55,128,selected,193330.java,66,139
default,123784.java,223,281,default,47767.java,226,288
default,7258.java,324,444,default,7258.java,201,322
default,74770.java,61,122,default,84051.java,61,122
default,55419.java,146,209,default,115203.java,235,298
default,103951.java,238,304,default,103951.java,238,304
selected,1326963.java,160,272,selected,1490133.java,262,377
default,60402.java,268,417,default,21199.java,284,443
selected,77873.java,72,145,selected,1760314.java,37,120
default,2909.java,383,482,default,82554.java,383,482
selected,249418.java,306,396,selected,1383160.java,306,396
default,114236.java,13,89,default,54740.java,13,89
default,44688.java,160,251,selected,1467992.java,162,253
selected,1224477.java,10,63,selected,2245028.java,10,63
selected,316575.java,671,732,selected,15044.java,699,760
selected,1224655.java,386,457,selected,46027.java,432,503
default,30925.java,142,209,default,130832.java,143,210
default,108679.java,581,668,selected,147839.java,571,657
selected,472448.java,73,180,selected,472448.java,73,180
default,22947.java,96,244,default,105332.java,96,244
default,89288.java,27,99,default,30906.java,27,99
default,99256.java,299,458,default,61946.java,299,458
selected,1385666.java,1239,1295,selected,2049331.java,370,446
selected,1407273.java,149,211,selected,1407273.java,85,147
default,127351.java,53,166,default,87516.java,53,166
default,47706.java,357,471,default,58941.java,357,471
selected,1387869.java,672,776,selected,1387869.java,672,776
default,48054.java,587,1160,default,68311.java,587,1160
selected,2209144.java,422,520,selected,2209144.java,422,520
selected,82505.java,81,136,selected,623140.java,120,185
selected,255157.java,32,101,selected,2494750.java,918,997
default,19573.java,110,197,default,32654.java,110,197
default,31001.java,205,277,selected,2553894.java,207,279
selected,1201888.java,55,128,selected,1009491.java,73,146
default,36962.java,48,157,default,18834.java,48,157
default,94873.java,391,568,default,94873.java,391,568
default,8528.java,369,463,default,2909.java,383,482
default,123784.java,223,281,default,30906.java,238,304
selected,644056.java,683,892,selected,644056.java,683,892
selected,2673551.java,423,577,selected,1823069.java,461,618
selected,1312858.java,263,380,selected,1735849.java,263,380
selected,2587776.java,193,259,selected,225359.java,183,265
selected,15044.java,1153,1228,selected,93071.java,1112,1187
default,71930.java,369,463,default,58510.java,369,463
selected,46027.java,432,503,selected,1643376.java,444,521
selected,1811609.java,680,749,selected,559027.java,178,259
default,124879.java,195,255,default,5489.java,188,251
selected,967656.java,189,253,selected,1759377.java,158,239
selected,1323852.java,894,963,selected,978188.java,894,963
selected,2124810.java,388,483,selected,2124810.java,388,483
selected,245454.java,701,766,selected,1010374.java,526,591
selected,1960245.java,950,1205,selected,1960245.java,679,948
selected,158058.java,39,165,selected,1189778.java,40,187
selected,927691.java,363,425,selected,925397.java,458,520
selected,364540.java,980,1038,selected,925397.java,997,1055
default,53073.java,583,659,selected,2435563.java,585,661
default,135077.java,311,372,default,20162.java,301,362
selected,1951443.java,245,314,selected,1838580.java,259,328
selected,1613355.java,305,371,selected,1365784.java,287,353
selected,76730.java,558,617,selected,1262012.java,604,663
selected,1095439.java,138,200,selected,597475.java,447,508
default,34614.java,1415,1623,default,88262.java,1461,1683
selected,1690393.java,549,611,selected,2060809.java,187,259
default,33936.java,41,100,default,31047.java,41,100
default,50362.java,132,205,default,267.java,139,215
default,49259.java,299,392,default,49259.java,299,392
selected,1494993.java,446,508,selected,1802351.java,447,509
default,19476.java,54,158,default,125392.java,54,158
default,24853.java,9,97,selected,1016175.java,11,99
selected,1726180.java,411,509,selected,1726180.java,515,623
selected,1694667.java,47,270,selected,1895662.java,47,267
selected,100238.java,129,213,selected,342350.java,138,223
selected,7504.java,75,151,selected,1345454.java,36,109
selected,467614.java,63,154,selected,1202960.java,61,167
default,80764.java,473,554,selected,750560.java,353,434
selected,1739228.java,290,356,selected,1739228.java,546,612
selected,2429735.java,82,158,selected,2091246.java,83,163
default,9986.java,185,248,default,128221.java,204,270
selected,672082.java,546,699,selected,672082.java,1295,1448
selected,2005837.java,40,186,selected,1200296.java,110,250
default,28484.java,11,55,default,25960.java,11,71
default,67921.java,40,147,default,83219.java,40,147
default,48824.java,960,1036,default,85594.java,960,1036
selected,1083174.java,1003,1114,selected,1473439.java,1003,1114
selected,1616622.java,55,129,selected,2323361.java,136,220
default,28121.java,623,683,default,94873.java,737,803
selected,1120219.java,374,445,selected,1224655.java,386,457
selected,303448.java,268,561,selected,303448.java,268,561
selected,1291926.java,223,281,default,66065.java,235,306
selected,1274079.java,691,751,default,87653.java,1007,1084
default,42700.java,157,242,default,29512.java,158,243
selected,1756427.java,206,267,selected,2259753.java,168,229
default,107906.java,49,263,default,105158.java,49,263
selected,535388.java,625,733,selected,1929961.java,650,758
default,107779.java,93,171,default,23875.java,110,197
