method1_dir,method1_file,method1_startline,method1_endline,method2_dir,method2_file,method2_startline,method2_endline
default,115561.java,174,181,default,38807.java,175,182
default,119807.java,655,667,default,28532.java,545,557
default,106045.java,6,18,default,84690.java,6,18
default,119807.java,132,146,default,124923.java,453,470
default,125766.java,72,79,default,116279.java,71,78
default,85514.java,379,383,default,118595.java,379,383
default,25052.java,250,265,default,98271.java,517,532
default,75701.java,244,257,default,29578.java,234,247
default,19968.java,194,206,default,70932.java,194,206
default,116906.java,493,507,default,4439.java,493,507
default,35785.java,175,180,default,17076.java,175,180
default,127822.java,106,111,default,24905.java,106,111
default,42530.java,97,104,default,128528.java,104,111
default,74245.java,488,494,default,126614.java,488,494
default,129984.java,280,301,default,32260.java,280,301
default,19573.java,592,602,default,25053.java,592,602
default,71085.java,355,367,default,35737.java,363,375
default,58180.java,898,908,default,92635.java,894,904
default,93943.java,909,922,default,80510.java,909,922
default,119807.java,85,91,default,5657.java,85,91
default,119807.java,1531,1546,default,28532.java,1548,1565
default,9693.java,571,585,default,108541.java,571,585
default,63057.java,387,397,default,4537.java,387,397
default,89968.java,126,133,default,15343.java,199,206
default,39035.java,1762,1773,default,124923.java,1762,1773
default,32654.java,297,306,default,103146.java,297,306
default,7289.java,30,44,default,40221.java,30,44
default,53104.java,367,379,default,116906.java,367,379
default,80510.java,1567,1580,default,39035.java,1511,1529
default,41976.java,194,203,default,62476.java,194,203
default,72323.java,459,472,default,103762.java,459,472
default,118344.java,629,646,default,25053.java,629,646
default,18032.java,77,83,default,14153.java,72,78
default,84501.java,443,453,default,64797.java,533,543
default,66600.java,126,138,default,72306.java,126,138
default,55722.java,156,167,default,36876.java,156,167
default,129715.java,631,648,default,94821.java,662,680
default,39035.java,1567,1580,default,5657.java,1567,1580
default,126019.java,529,542,default,132935.java,920,933
default,45549.java,687,703,default,6937.java,687,703
default,31794.java,704,714,default,50898.java,443,453
default,7356.java,103,109,default,101188.java,103,109
default,76845.java,118,124,default,84782.java,118,124
default,117763.java,6,11,default,41662.java,6,11
default,96497.java,54,62,default,114161.java,54,62
default,16429.java,174,181,default,108171.java,171,178
default,5224.java,571,585,default,48666.java,571,585
default,18032.java,118,126,default,8506.java,113,121
default,33872.java,570,590,default,98981.java,570,590
default,19573.java,243,252,default,135495.java,243,252
default,80007.java,452,461,default,36772.java,450,459
default,60222.java,500,511,default,118595.java,536,547
default,80596.java,104,111,default,66239.java,77,84
default,98289.java,126,130,default,130280.java,126,130
default,80510.java,939,952,default,124923.java,924,937
default,41408.java,99,111,default,40097.java,99,111
default,120094.java,84,91,default,7413.java,84,91
default,118595.java,573,587,default,28899.java,571,585
default,15259.java,175,191,default,36876.java,175,191
default,111522.java,56,63,default,90320.java,56,63
default,27366.java,159,173,default,48890.java,159,173
default,40097.java,54,62,default,76337.java,54,62
default,129330.java,20,25,default,27602.java,20,25
default,58507.java,573,587,default,94357.java,573,587
default,5803.java,132,140,default,1297.java,132,140
default,80510.java,219,231,default,124923.java,205,217
default,93943.java,954,967,default,5657.java,954,967
default,93943.java,368,379,default,28532.java,381,392
default,23661.java,739,750,default,68876.java,741,752
default,53104.java,667,685,default,25053.java,667,685
default,15508.java,181,197,default,82554.java,181,197
default,95270.java,201,222,default,112047.java,201,222
default,98981.java,474,483,default,15343.java,474,483
default,40759.java,656,681,default,129984.java,656,681
default,119807.java,453,470,default,39035.java,453,470
default,58180.java,923,940,default,1446.java,803,820
default,82554.java,175,179,default,3128.java,175,179
default,15089.java,495,518,default,60480.java,495,518
default,98456.java,6,20,default,30983.java,6,20
default,135094.java,87,103,default,61819.java,87,103
default,19383.java,133,140,default,57136.java,133,140
default,118344.java,394,404,default,24621.java,394,404
default,111391.java,571,581,default,9697.java,595,605
default,18032.java,105,116,default,89284.java,113,124
default,112013.java,183,197,default,11961.java,183,197
default,78023.java,93,97,default,75612.java,93,97
default,92220.java,509,520,default,32654.java,509,520
default,104630.java,149,157,default,48890.java,149,157
default,19573.java,358,365,default,24621.java,358,365
default,115646.java,64,71,default,41662.java,64,71
default,119807.java,132,146,default,5657.java,132,146
default,15508.java,238,263,default,120736.java,238,263
default,19573.java,705,713,default,25053.java,705,713
default,45549.java,199,206,default,6937.java,199,206
default,109369.java,604,617,default,118344.java,604,617
default,15508.java,325,337,default,137438.java,325,337
default,121978.java,355,363,default,21155.java,355,363
default,82554.java,265,278,default,40759.java,265,278
default,16144.java,67,85,default,90872.java,67,85
default,96545.java,48,62,default,131729.java,48,62
default,30438.java,174,203,default,28716.java,174,203
default,137408.java,573,587,default,128156.java,573,587
default,101001.java,84,88,default,55062.java,85,89
default,129715.java,280,289,default,33872.java,280,289
default,35737.java,990,999,default,101935.java,900,909
default,106138.java,102,110,default,28025.java,102,110
default,16429.java,336,343,default,107017.java,336,343
default,119807.java,320,331,default,5657.java,263,274
default,2058.java,216,229,default,79290.java,210,223
default,119807.java,1137,1153,default,124923.java,1548,1565
default,118822.java,174,183,default,2131.java,174,183
default,62286.java,12,18,default,94308.java,12,18
default,5657.java,186,203,default,119807.java,1683,1702
default,15697.java,441,459,default,3335.java,223,242
default,118595.java,385,390,default,79290.java,379,384
