method1_dir,method1_file,method1_startline,method1_endline,method2_dir,method2_file,method2_startline,method2_endline
default,121854.java,253,269,default,21186.java,243,259
default,121854.java,315,326,default,114488.java,315,326
default,94357.java,536,547,default,11974.java,536,547
selected,1475.java,36,79,selected,2493825.java,67,140
selected,2446746.java,82,101,selected,1741440.java,47,66
selected,1933266.java,313,328,selected,642676.java,311,326
selected,38603.java,498,517,selected,1484466.java,498,517
default,26124.java,571,585,default,121854.java,593,607
default,94357.java,443,485,default,109585.java,463,505
selected,1951044.java,148,173,selected,1489826.java,158,183
default,24071.java,573,587,default,121854.java,593,607
selected,841335.java,249,258,selected,1475.java,183,192
selected,369186.java,335,346,selected,1581730.java,320,331
default,37587.java,132,140,default,73789.java,132,140
default,53763.java,126,133,default,121854.java,130,137
