method1_dir,method1_file,method1_startline,method1_endline,method2_dir,method2_file,method2_startline,method2_endline

selected,883949.java,284,300,selected,1745478.java,303,318
selected,2165036.java,140,156,selected,1873560.java,53,68
selected,2308114.java,418,435,selected,1360343.java,423,440
selected,470450.java,91,120,selected,1080768.java,356,395
selected,2230700.java,12,29,selected,2126890.java,17,34
selected,1409887.java,34,57,selected,2623280.java,32,51
selected,630282.java,12,24,selected,2330749.java,392,407
selected,1343672.java,118,138,selected,1122505.java,314,325
selected,968577.java,197,210,selected,628014.java,198,211
selected,2255160.java,27,43,selected,2255160.java,13,25
selected,1071417.java,17,34,selected,844937.java,17,34
selected,1793068.java,340,353,selected,1793068.java,227,241
selected,1677830.java,230,248,selected,2165036.java,18,33
selected,2585088.java,148,159,selected,2308114.java,157,168
selected,644074.java,47,60,selected,1292507.java,43,49
selected,2465429.java,470,481,selected,2465429.java,483,494
selected,1523381.java,297,312,selected,1873560.java,109,126
default,72846.java,36,60,selected,653713.java,708,715
selected,57710.java,224,235,selected,1293876.java,190,203
selected,1101490.java,272,286,selected,1101490.java,240,254
selected,1523381.java,166,181,selected,2394288.java,131,146
selected,119045.java,95,104,selected,119045.java,55,65
selected,1623431.java,124,137,selected,2126890.java,102,114
selected,2642341.java,185,200,selected,1873560.java,53,68
selected,281911.java,13,30,selected,150999.java,13,30
selected,2605610.java,122,133,selected,1074175.java,124,134
selected,2128342.java,93,111,selected,1813289.java,67,85
selected,57710.java,248,262,selected,2571624.java,175,189
default,97964.java,89,101,default,50301.java,89,101
selected,552536.java,33,56,selected,2372136.java,40,56
selected,1793068.java,173,189,selected,881724.java,89,102
selected,780597.java,598,614,selected,780597.java,779,793
default,23311.java,18,49,default,58326.java,18,41
selected,743040.java,122,138,selected,2468732.java,113,126
selected,743040.java,86,102,selected,2165556.java,73,88
selected,1366456.java,904,925,selected,1366456.java,541,561
selected,1793068.java,173,189,selected,1793068.java,227,241
selected,626987.java,243,266,selected,1748535.java,136,161
selected,408195.java,113,125,selected,102850.java,32,51
selected,506069.java,110,124,selected,506069.java,46,59
selected,1384801.java,84,97,selected,391616.java,91,106
selected,1085000.java,65,110,selected,1062561.java,110,153
