method1_dir,method1_file,method1_startline,method1_endline,method2_dir,method2_file,method2_startline,method2_endline
selected,952606.java,359,369,selected,2501958.java,311,321
default,15089.java,801,830,default,101757.java,711,740
selected,339364.java,245,256,selected,2330169.java,248,259
default,17076.java,64,71,default,15826.java,64,71
default,85301.java,73,82,default,63132.java,54,62
default,60196.java,102,110,default,91548.java,102,110
default,65418.java,347,356,selected,2457327.java,1573,1580
selected,751919.java,92,103,selected,2250780.java,78,91
default,67476.java,54,62,default,83240.java,39,48
default,116906.java,440,452,default,21681.java,440,452
selected,151188.java,537,554,selected,225359.java,267,282
selected,947448.java,84,95,selected,2660786.java,462,473
default,109003.java,322,360,default,97613.java,306,344
selected,1656760.java,154,161,selected,2616353.java,140,146
selected,1098066.java,153,169,selected,1933266.java,155,171
default,8509.java,184,198,default,71559.java,184,198
selected,448380.java,535,544,selected,868705.java,188,196
selected,926078.java,58,64,selected,324410.java,30,36
selected,497807.java,34,44,selected,245075.java,369,379
default,128156.java,126,133,default,57607.java,126,133
default,83354.java,183,197,default,115041.java,183,197
default,133782.java,1008,1013,default,133782.java,1069,1074
selected,868705.java,624,634,selected,127068.java,1695,1704
selected,961260.java,72,111,selected,803247.java,72,111
selected,608664.java,929,934,selected,186786.java,929,934
selected,13112.java,134,142,selected,1090510.java,37,44
selected,622566.java,664,670,selected,53444.java,603,609
selected,2721373.java,341,354,selected,576980.java,88,101
selected,255150.java,212,225,selected,846288.java,135,148
selected,539445.java,493,510,selected,539445.java,628,643
selected,1199345.java,125,137,selected,1199345.java,233,246
selected,1139080.java,451,513,selected,419020.java,492,554
selected,2406774.java,361,374,selected,2406774.java,408,421
default,107779.java,93,171,default,90009.java,110,197
selected,1923478.java,386,394,selected,1427655.java,376,384
selected,1191899.java,133,142,selected,980275.java,126,135
selected,881437.java,80,88,selected,862050.java,229,237
selected,1148975.java,218,232,selected,752169.java,218,232
default,42530.java,409,443,default,59943.java,410,444
selected,2712277.java,60,72,selected,2233792.java,236,249
selected,113019.java,51,59,selected,17378.java,202,211
default,29198.java,63,67,default,8930.java,63,67
selected,1845130.java,52,59,selected,2515393.java,23,29
selected,963841.java,58,68,selected,2474941.java,498,508
selected,2101710.java,301,307,selected,2524570.java,261,268
default,85394.java,742,758,selected,2190287.java,716,732
selected,783969.java,399,429,selected,783969.java,528,552
default,5763.java,61,68,selected,2605341.java,238,244
default,33571.java,530,541,default,93534.java,530,541
selected,2451420.java,213,227,selected,1498872.java,201,215
default,98981.java,629,646,default,116906.java,667,685
selected,382940.java,79,84,selected,2721373.java,113,118
selected,2636937.java,110,119,selected,2549255.java,186,195
selected,2213635.java,84,90,selected,1036563.java,41,46
default,96339.java,440,452,default,66305.java,459,472
selected,2666453.java,1052,1085,selected,245970.java,1155,1190
default,106331.java,17,44,default,44433.java,24,51
selected,2636968.java,542,550,selected,526365.java,635,645
selected,2424712.java,109,117,selected,868705.java,640,648
default,44269.java,419,423,default,44269.java,566,570
selected,2278916.java,249,259,selected,2616353.java,164,175
default,65413.java,394,404,default,4439.java,394,404
default,100919.java,54,62,default,46902.java,54,62
selected,493063.java,114,123,selected,1273569.java,27,34
default,28782.java,243,252,default,65982.java,243,252
selected,151188.java,424,455,selected,102108.java,1077,1102
default,21199.java,97,133,default,25960.java,107,143
default,93531.java,381,392,default,79086.java,381,392
selected,1066157.java,62,68,selected,899887.java,198,204
default,72773.java,311,341,default,72773.java,343,371
selected,2361308.java,678,687,selected,1635688.java,679,688
selected,628845.java,386,394,selected,245075.java,401,409
default,137594.java,297,306,default,44026.java,297,306
selected,102108.java,296,326,selected,2512321.java,263,289
default,66305.java,199,206,default,78160.java,126,133
selected,1224458.java,58,68,selected,1654230.java,30,40
default,64200.java,522,544,default,28782.java,629,646
default,2039.java,90,172,default,111245.java,90,172
selected,969309.java,787,797,selected,149408.java,379,389
selected,2552012.java,246,269,selected,2552012.java,625,648
