method1_dir,method1_file,method1_startline,method1_endline,method2_dir,method2_file,method2_startline,method2_endline
selected,2388039.java,414,430,selected,2388039.java,856,878
selected,127068.java,773,782,selected,127068.java,967,976
selected,780597.java,695,710,selected,780597.java,1362,1378
selected,2562481.java,326,335,selected,2562481.java,339,348
selected,2652939.java,208,229,selected,46152.java,822,843
selected,2436210.java,18,21,selected,408743.java,14,19
selected,1012963.java,261,270,selected,223814.java,214,223
selected,2429582.java,394,476,selected,1301954.java,355,438
selected,1356669.java,489,491,selected,245579.java,471,473
selected,278991.java,669,684,selected,2423634.java,902,921
selected,1090867.java,778,788,selected,127068.java,1026,1035
selected,882287.java,26,36,selected,1054486.java,135,143
selected,939512.java,92,97,selected,923796.java,124,130
selected,1440527.java,256,262,selected,245579.java,235,241
selected,2727594.java,447,460,selected,127068.java,815,824
selected,211182.java,426,435,selected,127068.java,1438,1450
selected,2621339.java,473,479,selected,2621339.java,489,495
selected,939512.java,140,144,selected,2635985.java,100,105
selected,939512.java,113,118,selected,939512.java,146,153
selected,1888675.java,12,17,selected,1888675.java,23,28
selected,1372864.java,162,171,selected,1090867.java,202,211
selected,1802351.java,1208,1217,selected,974838.java,1455,1464
selected,1378373.java,177,181,selected,247261.java,177,181
selected,2727594.java,694,703,selected,1090867.java,1003,1012
selected,2279161.java,77,80,selected,539781.java,92,95
selected,656520.java,152,158,selected,199182.java,168,177
selected,1554858.java,193,197,selected,68746.java,93,99
selected,1207836.java,290,312,selected,1207836.java,344,364
selected,1586595.java,1029,1052,selected,1586595.java,1058,1087
selected,624565.java,83,94,selected,1957335.java,133,145
selected,2274744.java,413,422,selected,1090867.java,1003,1012
selected,415065.java,18,40,selected,1757088.java,279,299
selected,704843.java,343,352,selected,704843.java,475,486
selected,1372864.java,544,552,selected,1372864.java,574,582
selected,1483221.java,678,704,selected,375037.java,697,723
selected,1802351.java,838,864,selected,1802351.java,874,900
selected,27954.java,683,693,selected,27954.java,695,707
selected,1044179.java,24,30,selected,2537122.java,24,30
selected,211182.java,322,335,selected,1090867.java,403,416
selected,1544487.java,93,98,selected,2616353.java,83,88
selected,1483221.java,1121,1133,selected,304936.java,1125,1138
selected,2023646.java,382,426,selected,2327021.java,255,299
selected,2727594.java,33,42,selected,1090867.java,1003,1012
selected,88478.java,76,94,selected,88478.java,879,891
selected,2626073.java,121,129,selected,1126422.java,175,183
selected,1536124.java,496,513,selected,1536124.java,515,532
selected,971495.java,465,474,selected,971495.java,535,544
selected,1536124.java,316,333,selected,1161059.java,457,472
selected,211182.java,162,171,selected,1527985.java,212,221
selected,2726599.java,428,439,selected,2726599.java,632,644
selected,1245713.java,162,164,selected,1245713.java,185,187
selected,1372864.java,483,492,selected,1372864.java,732,741
selected,2058451.java,138,147,selected,2058451.java,156,166
selected,1210023.java,173,209,selected,1210023.java,211,247
selected,1256552.java,336,371,selected,2242014.java,321,356
selected,2334454.java,43,48,selected,510131.java,36,45
selected,172418.java,369,379,selected,1087894.java,359,369
selected,2635985.java,19,77,selected,2616353.java,19,67
selected,1372864.java,588,598,selected,211182.java,595,605
selected,1647335.java,9,20,selected,1755560.java,107,118
selected,2397223.java,147,158,selected,2397223.java,217,231
selected,461177.java,9,20,selected,916462.java,10,21
selected,392189.java,55,67,selected,633121.java,54,66
selected,2726599.java,590,598,selected,2726599.java,603,611
selected,1087894.java,376,384,selected,1083174.java,386,394
selected,1728463.java,1164,1171,selected,1728463.java,1173,1180
selected,2392084.java,95,108,selected,765090.java,91,106
selected,922810.java,379,411,selected,151188.java,143,173
selected,1736134.java,179,217,selected,2631232.java,181,222
selected,939512.java,238,244,selected,234618.java,142,147
selected,1163823.java,568,596,selected,1589259.java,568,596
selected,392189.java,55,67,selected,2358105.java,55,67
selected,1527985.java,801,810,selected,1527985.java,932,941
selected,939512.java,92,97,selected,793117.java,100,105
selected,179147.java,187,205,selected,179147.java,246,263
selected,2727594.java,573,584,selected,2727594.java,590,603
selected,777435.java,272,295,selected,777435.java,412,437
selected,1936212.java,14,20,selected,96558.java,15,21
selected,2140448.java,93,100,selected,79484.java,252,257
selected,817112.java,268,279,selected,2527584.java,412,425
selected,234618.java,121,126,selected,234618.java,212,217
selected,632593.java,340,347,selected,632593.java,349,356
selected,939512.java,85,90,selected,793117.java,200,205
selected,2727594.java,710,719,selected,1090867.java,670,680
selected,492996.java,313,323,selected,492996.java,325,335
selected,333940.java,111,130,selected,882996.java,90,112
selected,675294.java,97,116,selected,675294.java,146,170
selected,496996.java,260,277,selected,496996.java,302,319
selected,211182.java,462,472,selected,448380.java,574,584
selected,88478.java,706,708,selected,88478.java,1151,1153
selected,939512.java,170,182,selected,1544487.java,197,208
selected,2561717.java,1021,1031,selected,2561717.java,1040,1050
selected,127068.java,1438,1450,selected,127068.java,1652,1664
selected,356074.java,1244,1280,selected,1053311.java,1286,1322
selected,1090867.java,202,211,selected,1090867.java,616,625
selected,905951.java,380,383,selected,1242991.java,599,601
selected,1372864.java,455,465,selected,1090867.java,584,594
selected,530789.java,547,569,selected,1499017.java,549,574
selected,1090867.java,689,697,selected,1090867.java,797,805
selected,542382.java,164,175,selected,1755560.java,107,118
selected,2351060.java,363,384,selected,2351060.java,432,452
selected,88478.java,135,153,selected,88478.java,223,241
selected,1664613.java,878,884,selected,1746689.java,899,905
selected,2358105.java,55,67,selected,401339.java,241,253
selected,234618.java,86,91,selected,234618.java,107,112
selected,2701228.java,221,234,selected,1933084.java,271,282
selected,356074.java,1122,1128,selected,1589259.java,1143,1149
selected,1199352.java,35,50,selected,2260758.java,36,51
selected,311704.java,136,138,selected,311704.java,514,516
selected,632593.java,294,301,selected,632593.java,340,347
selected,67340.java,34,40,selected,67340.java,74,80
selected,593263.java,535,561,selected,304936.java,536,559
selected,2710516.java,39,46,selected,2710516.java,65,72
selected,2676960.java,502,509,selected,2676960.java,576,584
selected,98454.java,35,54,selected,98454.java,69,86
selected,630282.java,12,24,selected,1990163.java,13,25
selected,2274744.java,413,422,selected,687849.java,776,785
selected,2635985.java,100,105,selected,2635985.java,173,179
selected,2106882.java,112,124,selected,2106882.java,126,140
selected,780597.java,933,951,selected,780597.java,1546,1562
selected,110490.java,984,1040,selected,375037.java,996,1052
selected,1356669.java,489,491,selected,324456.java,498,500
selected,1372864.java,426,435,selected,127068.java,967,976
selected,951517.java,306,317,selected,951517.java,1042,1051
selected,923796.java,101,106,selected,234618.java,107,112
selected,172418.java,1409,1420,selected,347622.java,1409,1420
selected,2626904.java,447,509,selected,10730.java,1052,1114
selected,939512.java,246,252,selected,2635985.java,86,91
selected,687849.java,648,658,selected,687849.java,680,690
selected,787909.java,311,326,selected,764675.java,230,245
selected,862161.java,58,116,selected,339942.java,62,112
selected,1937258.java,303,408,selected,996067.java,298,403
selected,1864887.java,15,25,selected,829580.java,15,25
selected,2464493.java,19,29,selected,811645.java,14,25
selected,1736134.java,686,692,selected,2631232.java,741,753
selected,1330759.java,26,33,selected,1003467.java,24,30
selected,1267228.java,222,244,selected,1267228.java,249,269
selected,2415696.java,187,196,selected,2415696.java,204,214
selected,1892595.java,259,274,selected,777548.java,52,64
selected,1012963.java,117,123,selected,223814.java,114,120
selected,2626904.java,1128,1141,selected,1607771.java,1128,1141
selected,2286281.java,311,320,selected,2286281.java,454,463
selected,2495584.java,264,290,selected,2444104.java,264,290
selected,1619699.java,162,164,selected,1619699.java,166,168
selected,845126.java,242,254,selected,1725132.java,55,67
selected,2650933.java,189,198,selected,2650933.java,222,231
selected,63976.java,1065,1077,selected,63976.java,1160,1172
selected,1383238.java,81,94,selected,1383238.java,113,126
selected,1852862.java,349,358,selected,1852862.java,400,409
selected,1023862.java,80,91,selected,1023862.java,102,113
selected,923796.java,73,78,selected,234618.java,184,189
selected,2178919.java,110,127,selected,169044.java,85,103
selected,2159295.java,153,210,selected,2159295.java,212,270
selected,2727594.java,447,460,selected,127068.java,952,961
selected,2703999.java,304,311,selected,2703999.java,313,320
selected,2607937.java,861,868,selected,1317737.java,132,138
selected,1527985.java,801,810,selected,1527985.java,952,961
selected,762516.java,901,908,selected,762516.java,940,947
selected,1372864.java,215,223,selected,687849.java,266,274
selected,1544487.java,86,91,selected,1544487.java,144,149
selected,442032.java,1001,1008,selected,442032.java,1010,1018
selected,1570324.java,110,122,selected,1570324.java,124,136
selected,793117.java,141,146,selected,234618.java,135,140
selected,1664129.java,32,50,selected,1760314.java,221,240
selected,452480.java,53,62,selected,452480.java,65,75
selected,951517.java,585,617,selected,951517.java,1025,1057
selected,1090867.java,761,769,selected,687849.java,697,705
selected,1352679.java,24,30,selected,942843.java,24,30
selected,1033777.java,114,123,selected,1033777.java,136,145
selected,841368.java,1493,1500,selected,841368.java,1546,1553
selected,1680080.java,466,475,selected,1680080.java,516,525
selected,2635985.java,151,157,selected,1544487.java,144,149
selected,1802127.java,779,787,selected,2628940.java,715,723
selected,1760314.java,122,132,selected,2219826.java,60,70
selected,1527985.java,657,667,selected,687849.java,744,754
selected,1758452.java,595,608,selected,1758452.java,615,625
selected,600464.java,24,30,selected,2537122.java,24,30
selected,2009340.java,601,603,selected,2009340.java,739,741
selected,872021.java,951,961,selected,872021.java,963,973
selected,1796446.java,232,254,selected,1796446.java,278,298
selected,1372864.java,588,598,selected,211182.java,625,635
selected,438322.java,865,885,selected,2626904.java,874,900
selected,1608690.java,461,468,selected,1608690.java,493,500
selected,448380.java,1056,1065,selected,127068.java,1011,1020
selected,88478.java,164,182,selected,88478.java,516,534
selected,793117.java,79,84,selected,234618.java,156,161
selected,1447407.java,71,111,selected,1447407.java,187,227
selected,391691.java,103,109,selected,342041.java,124,130
selected,127068.java,997,1006,selected,127068.java,1011,1020
selected,211182.java,202,210,selected,1090867.java,264,272
selected,211182.java,535,545,selected,127068.java,937,946
selected,2371791.java,60,68,selected,2371791.java,82,91
selected,184616.java,479,494,selected,184616.java,537,550
selected,2274744.java,175,183,selected,448380.java,535,544
selected,2014063.java,791,798,selected,2014063.java,827,834
selected,952606.java,598,617,selected,497716.java,722,741
selected,781650.java,1125,1129,selected,781650.java,1143,1147
selected,1372864.java,202,210,selected,1090867.java,264,272
selected,971495.java,511,521,selected,971495.java,558,567
selected,1326582.java,226,262,selected,1326582.java,267,303
selected,2023646.java,688,732,selected,2023646.java,904,946
selected,2647712.java,74,90,selected,680627.java,9,24
selected,1966020.java,826,848,selected,2510322.java,687,713
selected,1623562.java,181,192,selected,1872327.java,181,192
selected,356074.java,1145,1178,selected,1746689.java,1166,1199
selected,939512.java,162,168,selected,793117.java,178,185
selected,2215333.java,394,417,selected,2215333.java,469,498
selected,923796.java,73,78,selected,234618.java,128,133
selected,2635985.java,107,111,selected,1544487.java,93,98
selected,696656.java,283,303,selected,696656.java,308,328
selected,2726599.java,43,52,selected,2726599.java,75,84
selected,1667657.java,258,264,selected,1135375.java,377,383
selected,438322.java,983,993,selected,2038811.java,963,974
selected,753810.java,351,373,selected,753810.java,389,409
selected,780597.java,987,1002,selected,780597.java,1465,1481
selected,373349.java,303,323,selected,373349.java,348,369
selected,42258.java,71,80,selected,517589.java,32,41
selected,497716.java,363,373,selected,522719.java,352,362
selected,179147.java,265,283,selected,179147.java,448,466
selected,438322.java,752,765,selected,304936.java,741,757
selected,780597.java,1564,1578,selected,780597.java,1580,1592
selected,2286281.java,266,275,selected,2286281.java,454,463
selected,1007442.java,5,11,selected,1007442.java,13,19
selected,952606.java,778,797,selected,497716.java,572,591
selected,137295.java,519,524,selected,137295.java,526,531
selected,1907234.java,553,591,selected,218824.java,164,202
selected,234618.java,135,140,selected,234618.java,184,189
selected,939512.java,92,97,selected,234618.java,149,154
selected,561156.java,28,42,selected,561156.java,44,58
selected,1087894.java,391,399,selected,1163823.java,386,394
selected,1427655.java,1365,1374,selected,1746689.java,1409,1420
selected,2727594.java,112,121,selected,687849.java,648,658
selected,952606.java,748,767,selected,497716.java,602,621
selected,137903.java,255,263,selected,137903.java,265,273
selected,975587.java,24,30,selected,1003467.java,24,30
selected,2727594.java,609,620,selected,211182.java,581,589
selected,780597.java,212,228,selected,780597.java,1004,1020
selected,1544487.java,93,98,selected,1544487.java,100,105
selected,1874820.java,537,574,selected,1690393.java,396,427
