method1_dir,method1_file,method1_startline,method1_endline,method2_dir,method2_file,method2_startline,method2_endline
default,106506.java,306,344,default,552.java,309,347
selected,651619.java,457,497,selected,753625.java,544,586
selected,1975097.java,154,192,selected,206524.java,154,192
default,106123.java,21,29,default,82912.java,21,29
selected,2657589.java,201,207,selected,928526.java,406,412
default,55600.java,980,1007,default,7033.java,980,1007
default,103146.java,260,270,default,72323.java,260,270
selected,2576313.java,132,145,selected,2694684.java,102,115
default,28716.java,795,803,default,30438.java,795,803
selected,1446080.java,158,169,selected,2262634.java,188,199
selected,1144578.java,493,546,selected,2683357.java,386,432
default,126833.java,24,51,default,57143.java,17,44
default,11262.java,368,397,default,36934.java,368,397
default,108650.java,251,269,default,51140.java,256,274
default,73389.java,65,74,selected,1044979.java,67,76
default,104327.java,109,116,default,39812.java,93,100
selected,1934984.java,129,158,selected,63216.java,92,122
selected,131514.java,163,167,selected,2053745.java,140,144
selected,71544.java,299,304,selected,986432.java,317,322
selected,1487527.java,944,949,selected,1487527.java,958,963
default,111807.java,239,241,default,130166.java,239,241
selected,1123260.java,168,183,selected,211331.java,170,185
default,71590.java,503,517,default,80404.java,503,517
selected,1271468.java,9,24,selected,680688.java,17,32
selected,1384958.java,179,193,selected,900584.java,150,164
default,5337.java,44,56,default,77469.java,44,56
selected,1814816.java,716,722,selected,2604410.java,716,722
selected,2215261.java,628,670,selected,2430560.java,628,670
default,11589.java,226,237,default,73472.java,226,237
default,104653.java,522,537,default,132820.java,525,540
default,11942.java,181,186,default,57162.java,181,186
default,21101.java,34,58,default,33331.java,34,58
selected,2280003.java,818,851,selected,2439345.java,820,853
selected,1030949.java,1148,1178,selected,361180.java,1165,1195
default,114414.java,188,207,default,58092.java,188,207
selected,2711455.java,1362,1393,selected,776211.java,1221,1252
selected,199484.java,56,64,selected,2666755.java,331,339
default,7323.java,354,363,default,76998.java,296,305
selected,1162000.java,207,217,selected,1188628.java,211,221
default,32300.java,297,303,default,44048.java,297,303
default,69211.java,174,179,default,94858.java,174,179
default,111045.java,203,219,default,22967.java,203,219
default,124449.java,549,572,default,31496.java,549,572
selected,2465429.java,470,481,selected,2465429.java,509,522
default,123223.java,1059,1083,default,40832.java,1044,1068
default,101935.java,900,909,default,60480.java,990,999
default,103762.java,546,568,default,41265.java,522,544
default,105502.java,101,110,selected,1403576.java,109,118
default,109645.java,306,322,selected,1808137.java,182,198
default,101757.java,742,757,default,127646.java,767,782
selected,2083540.java,373,388,selected,2083540.java,426,441
selected,686133.java,188,214,selected,935459.java,186,212
default,26885.java,17,45,default,9424.java,17,45
default,44771.java,828,846,default,86898.java,831,849
selected,1104633.java,651,662,selected,2674335.java,120,131
selected,1030949.java,142,154,selected,211182.java,126,138
default,36477.java,208,231,default,9697.java,208,231
default,100859.java,149,157,default,39986.java,149,157
selected,1600908.java,510,522,selected,245958.java,512,524
selected,2711455.java,1146,1177,selected,2711455.java,1182,1213
selected,1560483.java,491,521,selected,2348309.java,491,521
default,108224.java,80,92,default,69211.java,80,92
default,122954.java,806,826,selected,1876215.java,723,743
selected,2348670.java,119,126,selected,2647642.java,119,126
selected,2084125.java,262,278,selected,2202740.java,260,276
selected,1470057.java,117,157,selected,2521571.java,93,133
default,124449.java,40,57,default,31496.java,40,57
selected,115180.java,391,401,selected,900584.java,458,468
selected,2711455.java,1074,1105,selected,2711455.java,1110,1141
selected,100172.java,1063,1072,selected,1316903.java,664,673
selected,1281622.java,472,477,selected,932728.java,365,370
default,111615.java,81,89,default,25479.java,81,89
