method1_dir,method1_file,method1_startline,method1_endline,method2_dir,method2_file,method2_startline,method2_endline
selected,1938409.java,41,115,selected,1938409.java,223,283
selected,1010374.java,526,591,selected,245454.java,701,766
selected,862468.java,73,199,selected,987736.java,69,179
default,3335.java,244,306,default,39958.java,244,306
selected,2244367.java,269,1561,selected,2448576.java,590,1830
default,54039.java,18,173,selected,798888.java,42,173
selected,2007106.java,55,315,selected,658234.java,89,340
selected,597736.java,125,198,selected,336575.java,37,110
selected,2117362.java,169,230,selected,912805.java,167,228
default,73140.java,162,245,default,71126.java,178,269
default,127351.java,53,166,default,101874.java,53,166
default,25377.java,134,181,default,108861.java,134,181
default,132453.java,180,262,default,123223.java,180,276
default,110030.java,40,110,default,98851.java,42,112
selected,2348634.java,167,228,selected,1892595.java,186,247
selected,1767386.java,165,243,selected,504521.java,162,248
selected,978188.java,894,963,selected,978188.java,1032,1097
selected,923796.java,19,71,selected,1656760.java,19,91
default,131683.java,53,166,default,106694.java,53,166
selected,1415256.java,206,370,selected,2077738.java,148,322
selected,2434572.java,69,179,selected,1003467.java,63,149
selected,1095439.java,138,200,selected,2430560.java,447,509
selected,964253.java,447,508,default,122954.java,445,507
selected,1314942.java,19,75,selected,234618.java,19,77
selected,2701370.java,518,575,selected,277320.java,477,534
default,767.java,179,257,default,104140.java,179,257
default,32268.java,195,255,default,111270.java,189,249
selected,2345166.java,249,438,selected,2345166.java,249,438
default,3335.java,723,883,default,53817.java,722,882
default,75351.java,48,157,default,27320.java,48,157
selected,158959.java,609,672,selected,202968.java,577,635
selected,321301.java,168,229,selected,255050.java,167,228
selected,2051539.java,179,251,selected,2014002.java,187,259
selected,232750.java,153,212,selected,232750.java,153,212
default,30906.java,101,211,default,103951.java,101,211
selected,1512092.java,67,169,selected,1003467.java,63,149
selected,713062.java,340,401,default,2905.java,265,321
default,14340.java,19,135,default,87617.java,19,135
selected,438322.java,493,545,selected,1494993.java,446,508
default,128513.java,53,166,default,106694.java,53,166
default,33357.java,63,112,default,74770.java,61,122
selected,2579975.java,67,169,selected,987736.java,69,179
default,112268.java,130,197,default,104510.java,130,197
default,48824.java,669,781,default,44688.java,704,816
selected,2339581.java,73,199,selected,148767.java,67,169
selected,271739.java,26,92,selected,1602511.java,912,959
