method1_dir,method1_file,method1_startline,method1_endline,method2_dir,method2_file,method2_startline,method2_endline
selected,2530570.java,86,95,selected,2372569.java,288,298
selected,2524293.java,191,196,default,62957.java,887,891
selected,840647.java,1088,1090,selected,868705.java,610,618
selected,2042101.java,357,365,selected,2141209.java,203,209
selected,96367.java,17,21,selected,2567868.java,83,88
selected,635317.java,143,153,selected,606791.java,65,71
selected,736060.java,11,17,selected,1175885.java,326,330
selected,706168.java,21,28,selected,141184.java,20,29
selected,1399584.java,23,29,selected,622714.java,51,63
selected,1665118.java,553,559,selected,1258528.java,22,29
selected,450885.java,572,578,selected,2704131.java,326,332
selected,650666.java,199,206,selected,2353261.java,192,200
selected,421536.java,409,416,selected,351574.java,154,161
selected,1145637.java,1401,1403,selected,1145637.java,1179,1181
selected,30798.java,28,38,selected,648561.java,431,440
selected,535005.java,22,25,selected,1154951.java,14,19
selected,1145637.java,1453,1455,selected,1145637.java,392,394
selected,1838762.java,74,81,selected,993764.java,133,140
selected,845861.java,109,117,default,40876.java,731,740
selected,454910.java,105,113,selected,583564.java,111,119
selected,1145637.java,1413,1415,selected,1145637.java,884,886
selected,1145637.java,1413,1415,selected,1145637.java,251,253
selected,1620518.java,221,227,selected,497477.java,240,246
selected,1665118.java,553,559,selected,45714.java,26,33
selected,136465.java,45,55,selected,389080.java,161,169
selected,2368686.java,41,47,selected,2406043.java,84,89
selected,894938.java,54,62,selected,1868962.java,66,74
selected,2400040.java,1061,1069,selected,218824.java,347,352
selected,454910.java,105,113,selected,405187.java,70,76
selected,706168.java,21,28,default,4745.java,20,24
selected,2587973.java,477,485,selected,2359673.java,356,361
selected,257575.java,118,128,selected,589951.java,523,529
selected,1141094.java,516,522,selected,829908.java,277,280
selected,1145637.java,1429,1431,selected,1145637.java,852,854
selected,1245213.java,988,995,selected,2160969.java,538,550
selected,119045.java,20,31,selected,743040.java,461,476
selected,994393.java,149,153,selected,794762.java,184,193
selected,84634.java,898,904,selected,251625.java,521,527
selected,41451.java,442,449,selected,41451.java,394,401
selected,1145637.java,1465,1467,selected,1145637.java,1320,1322
selected,2666127.java,17,25,selected,1135070.java,96,106
selected,1683655.java,81,91,selected,1357502.java,48,62
selected,1817485.java,294,302,default,106112.java,1389,1398
selected,2556197.java,497,505,selected,854420.java,406,416
selected,1032848.java,463,469,selected,2281808.java,220,226
selected,171396.java,66,77,selected,2628117.java,245,253
selected,2343688.java,219,226,selected,1234417.java,696,700
selected,1838762.java,74,81,default,71089.java,126,130
selected,582316.java,442,450,selected,825239.java,1428,1437
selected,888514.java,18,26,selected,1406814.java,46,53
selected,2520395.java,72,80,selected,2705691.java,341,346
selected,2617107.java,757,767,selected,1184230.java,462,468
selected,211488.java,34,42,selected,2667874.java,159,168
selected,1793068.java,21,32,selected,760509.java,126,141
selected,1874154.java,36,43,default,61819.java,126,130
selected,2364886.java,21,26,selected,2398095.java,205,211
selected,1041292.java,50,59,selected,1738645.java,35,48
selected,888514.java,18,26,selected,294534.java,42,51
selected,787568.java,72,81,selected,2023782.java,236,244
selected,1245676.java,129,137,selected,1648489.java,936,946
selected,2530570.java,97,104,selected,2400040.java,432,439
selected,1245213.java,988,995,default,117763.java,54,62
selected,1145637.java,1453,1455,selected,1145637.java,642,644
selected,368651.java,94,98,default,82075.java,142,148
selected,706168.java,21,28,default,121294.java,126,130
selected,2364886.java,21,26,selected,1068618.java,64,68
selected,1029586.java,300,310,selected,1272426.java,38,49
selected,1704956.java,21,30,selected,1507085.java,17,27
selected,2411927.java,87,93,selected,1849304.java,282,299
selected,1817485.java,294,302,selected,2740389.java,216,226
selected,420537.java,25,28,selected,2110704.java,126,134
selected,96367.java,17,21,selected,263063.java,89,95
selected,582316.java,92,100,selected,934799.java,123,134
selected,1874154.java,36,43,selected,1522322.java,500,504
