method1_dir,method1_file,method1_startline,method1_endline,method2_dir,method2_file,method2_startline,method2_endline
selected,984718.java,125,132,selected,2376830.java,152,158
selected,1951044.java,148,173,selected,1489826.java,158,183
selected,38603.java,485,496,selected,2130288.java,169,177
selected,38603.java,699,709,selected,1089664.java,1106,1118
selected,29843.java,274,285,selected,1344161.java,272,278
selected,1527466.java,34,41,selected,1039258.java,187,192
selected,631611.java,50,57,selected,123013.java,30,36
selected,631611.java,266,273,selected,1082357.java,37,42
selected,2388467.java,111,117,selected,2348305.java,283,290
selected,38603.java,208,223,selected,1223361.java,33,43
default,121854.java,526,544,selected,1280377.java,556,569
selected,2516991.java,237,258,selected,888705.java,136,159
selected,1469008.java,309,325,selected,237297.java,436,451
selected,2341936.java,207,236,selected,883792.java,304,321
selected,410013.java,233,240,selected,1763173.java,46,54
selected,799776.java,419,448,selected,145366.java,35,69
selected,38603.java,324,331,selected,2077739.java,747,755
selected,2017640.java,440,448,selected,1634659.java,232,239
selected,1726265.java,604,652,selected,2672426.java,1422,1461
selected,2584850.java,262,274,selected,252610.java,308,318
selected,38603.java,155,169,selected,1410844.java,114,120
selected,1482765.java,39,50,selected,2432625.java,299,315
selected,2729385.java,240,255,selected,2231941.java,51,61
selected,1205476.java,566,571,selected,31838.java,318,328
selected,1080764.java,85,114,selected,410599.java,19,37
selected,773511.java,184,199,selected,2623593.java,53,70
selected,1752615.java,125,133,selected,2646299.java,595,602
selected,1395038.java,886,914,selected,2055704.java,276,287
selected,2284484.java,133,144,selected,206491.java,157,166
selected,1141510.java,389,423,selected,1904462.java,225,251
selected,667577.java,245,252,selected,1521229.java,511,516
selected,1451878.java,140,156,default,2138.java,58,78
selected,1543270.java,95,149,default,49246.java,134,155
selected,631611.java,266,273,selected,127387.java,37,44
selected,1726265.java,902,911,selected,2625352.java,111,118
selected,1395038.java,868,875,selected,2114993.java,1341,1349
selected,1213804.java,483,493,selected,2165614.java,144,151
selected,1395038.java,1370,1379,selected,1811719.java,635,640
selected,1726265.java,488,494,selected,2197084.java,161,166
selected,799776.java,419,448,selected,1530075.java,19,49
selected,631611.java,227,252,selected,1563350.java,67,75
selected,1517402.java,342,366,selected,1519200.java,227,247
selected,1395038.java,505,514,selected,1719246.java,127,142
selected,1395038.java,886,914,selected,1979242.java,109,119
selected,1157782.java,148,160,selected,1187727.java,161,185
default,73789.java,132,140,default,37587.java,132,140
default,121854.java,130,137,default,53763.java,126,133
selected,1809239.java,69,84,selected,1046841.java,54,63
selected,302292.java,986,992,selected,215435.java,797,805
selected,302292.java,1440,1445,selected,2562501.java,185,194
selected,139015.java,196,205,selected,2585621.java,37,45
selected,2136855.java,466,474,default,108227.java,220,229
selected,2506370.java,22,35,selected,1770841.java,30,48
selected,139015.java,168,177,selected,253419.java,68,74
selected,1758008.java,66,73,selected,153221.java,377,388
selected,1527466.java,34,41,selected,656970.java,59,69
selected,730575.java,19,29,selected,1037767.java,32,51
selected,1475.java,36,79,selected,2493825.java,67,140
default,133404.java,203,215,selected,2494750.java,1928,1942
selected,886760.java,1024,1033,selected,460436.java,134,140
selected,1395038.java,849,866,selected,2068897.java,98,111
selected,2729385.java,485,500,selected,126208.java,51,56
selected,1933266.java,87,96,selected,1807007.java,62,77
selected,745159.java,138,146,selected,1092242.java,245,254
selected,661312.java,132,157,default,53965.java,78,96
selected,1205476.java,586,595,default,81748.java,824,838
selected,1395038.java,931,946,selected,221674.java,1190,1200
selected,631611.java,266,273,selected,548346.java,126,135
selected,1095060.java,58,63,selected,2665636.java,50,59
selected,302292.java,511,570,selected,454194.java,250,285
selected,292986.java,150,159,selected,503080.java,935,941
selected,1095060.java,65,71,selected,751919.java,178,183
selected,2729385.java,485,500,default,24411.java,271,284
selected,302292.java,668,708,selected,2232033.java,482,502
selected,1095060.java,58,63,selected,2635985.java,79,84
