method1_dir,method1_file,method1_startline,method1_endline,method2_dir,method2_file,method2_startline,method2_endline
default,51560.java,994,1007,default,74994.java,1614,1627
default,39035.java,1155,1170,default,39035.java,1137,1153
default,28532.java,939,952,default,39035.java,655,667
default,39035.java,939,952,default,39035.java,381,392
default,65897.java,55,69,default,26478.java,55,69
default,114239.java,893,907,default,39035.java,1346,1360
default,36772.java,461,470,default,14153.java,448,457
default,80510.java,1005,1019,default,39035.java,1567,1580
default,14338.java,516,528,default,10101.java,485,497
default,69534.java,36,41,default,123780.java,36,41
default,129040.java,203,219,default,38355.java,203,219
default,28532.java,803,816,default,124923.java,247,261
default,67537.java,215,226,default,63057.java,215,226
default,127472.java,109,121,default,128128.java,109,121
default,114239.java,1495,1509,default,28532.java,1548,1565
default,32654.java,648,665,default,92220.java,570,590
default,98684.java,260,270,default,129715.java,260,270
default,119807.java,1005,1019,default,124923.java,1419,1437
default,93943.java,219,231,default,80510.java,761,773
default,45549.java,667,685,default,44208.java,648,665
default,8986.java,11,28,default,84877.java,11,28
default,119807.java,205,217,default,124923.java,761,773
default,35785.java,113,124,default,53567.java,113,124
default,5657.java,1495,1509,default,119807.java,1097,1112
default,116279.java,80,86,default,79324.java,51,57
default,40635.java,1363,1374,default,34614.java,1379,1390
default,119807.java,263,274,default,119807.java,247,261
default,28532.java,1232,1246,default,5657.java,1232,1246
default,43887.java,126,133,default,13378.java,126,133
default,118344.java,199,206,default,90320.java,56,63
default,93943.java,761,773,default,93943.java,368,379
default,136430.java,20,26,default,36335.java,20,26
default,61110.java,63,67,default,58332.java,63,67
default,39035.java,954,967,default,119807.java,655,667
default,5803.java,142,148,default,90320.java,142,148
default,102602.java,235,243,default,75101.java,354,360
default,93943.java,424,436,default,80510.java,233,245
default,114239.java,148,165,default,124923.java,186,203
default,113158.java,11,17,default,46146.java,11,17
default,39035.java,1511,1529,default,124923.java,991,1003
default,86702.java,924,938,default,32033.java,1032,1045
default,80510.java,381,392,default,124923.java,559,571
default,97228.java,146,154,default,105035.java,115,123
default,130721.java,104,112,default,116279.java,71,78
default,39811.java,24,42,default,127601.java,24,42
default,80510.java,1400,1417,default,124923.java,1155,1170
default,114239.java,954,967,default,114239.java,320,331
default,24692.java,280,301,default,24692.java,265,278
default,3128.java,636,654,default,62165.java,636,654
default,114239.java,355,366,default,80510.java,954,967
default,80510.java,492,504,default,124923.java,219,231
default,31496.java,40,57,default,97942.java,75,94
default,86702.java,666,677,default,32033.java,601,612
default,53763.java,542,550,default,4537.java,533,541
default,93943.java,205,217,default,39035.java,492,504
default,121041.java,474,489,default,85902.java,436,449
default,28532.java,1495,1509,default,80510.java,1439,1458
default,93943.java,407,422,default,119807.java,407,422
default,78227.java,10,24,default,24608.java,10,24
default,86702.java,818,832,default,86702.java,705,721
default,6937.java,667,685,default,92220.java,546,568
default,4439.java,648,665,default,19573.java,648,665
default,92257.java,940,952,default,32033.java,1032,1045
default,32033.java,940,952,default,32033.java,745,756
default,66132.java,95,108,default,31770.java,95,108
default,4297.java,168,172,default,121041.java,168,172
default,120413.java,39,43,default,112821.java,39,43
default,125392.java,164,168,default,112321.java,164,168
default,5657.java,1005,1019,default,124923.java,1021,1038
default,15508.java,375,381,default,129984.java,375,381
default,93943.java,219,231,default,80510.java,545,557
default,39035.java,655,667,default,124923.java,381,392
default,40759.java,683,708,default,32260.java,656,681
default,93943.java,247,261,default,80510.java,219,231
default,28532.java,1511,1529,default,39035.java,1548,1565
default,31509.java,593,607,default,68839.java,573,587
default,6003.java,229,237,default,85776.java,229,237
default,135495.java,381,392,default,129715.java,381,392
default,128156.java,293,304,default,13378.java,293,304
default,28532.java,545,557,default,124923.java,320,331
default,54915.java,388,402,default,100794.java,207,221
default,41976.java,19,34,default,101144.java,19,34
default,86702.java,582,599,default,32033.java,549,565
default,6937.java,667,685,default,6937.java,570,590
default,65413.java,631,648,default,6937.java,522,544
default,14511.java,125,141,default,31770.java,125,141
default,63057.java,503,507,default,4537.java,503,507
default,5657.java,355,366,default,5657.java,233,245
default,19731.java,279,301,default,64797.java,425,447
default,28532.java,655,667,default,39035.java,320,331
default,78815.java,50,61,default,132544.java,50,61
default,5657.java,1005,1019,default,124923.java,1005,1019
default,26124.java,571,585,default,109585.java,593,607
default,18032.java,157,166,default,12038.java,157,166
default,5657.java,559,571,default,5657.java,320,331
default,49414.java,105,116,default,90320.java,105,116
default,53897.java,151,167,default,46475.java,151,167
default,115561.java,174,181,default,38807.java,175,182
default,28532.java,545,557,default,119807.java,655,667
default,84690.java,6,18,default,106045.java,6,18
default,119807.java,132,146,default,124923.java,453,470
default,60222.java,121,128,default,49414.java,56,63
default,65413.java,669,687,default,92220.java,522,544
default,80510.java,1567,1580,default,5657.java,1400,1417
default,77555.java,855,867,default,77555.java,841,848
default,125766.java,72,79,default,116279.java,71,78
default,118595.java,379,383,default,85514.java,379,383
default,25052.java,250,265,default,98271.java,517,532
default,28532.java,276,288,default,5657.java,320,331
default,29578.java,234,247,default,75701.java,244,257
default,28532.java,1303,1310,default,124923.java,1303,1310
default,19968.java,194,206,default,70932.java,194,206
default,15343.java,459,472,default,44208.java,440,452
default,93943.java,368,379,default,28532.java,545,557
default,124923.java,528,543,default,124923.java,115,130
default,114239.java,1567,1580,default,119807.java,1137,1153
default,116906.java,493,507,default,4439.java,493,507
default,39035.java,924,937,default,124923.java,247,261
default,35785.java,175,180,default,17076.java,175,180
default,28532.java,205,217,default,39035.java,545,557
default,19573.java,629,646,default,129715.java,548,570
default,80510.java,424,436,default,119807.java,559,571
default,24905.java,106,111,default,127822.java,106,111
default,128528.java,104,111,default,42530.java,97,104
default,74245.java,488,494,default,126614.java,488,494
default,129984.java,280,301,default,32260.java,280,301
default,80510.java,1097,1112,default,119807.java,1567,1580
default,19573.java,592,602,default,25053.java,592,602
default,71085.java,355,367,default,35737.java,363,375
default,105158.java,290,295,default,107906.java,269,273
default,58180.java,898,908,default,92635.java,894,904
default,5657.java,1005,1019,default,124923.java,1531,1546
default,112321.java,164,168,default,7660.java,290,295
default,94944.java,280,289,default,94821.java,275,284
